Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 160199.11it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 169622.59it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 221814.15it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 180224.00it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 186413.51it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 201034.18it/s]

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 213598.81it/s]
Fetching 22 files:   0%|          | 0/22 [00:00<?, ?it/s]Fetching 22 files: 100%|██████████| 22/22 [00:00<00:00, 126577.08it/s]
2026-02-07 23:32:45,196 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 8
GPU: NVIDIA A100-SXM4-80GB | Peak FLOPS (BF16): 3.12e+14
wandb: Currently logged in as: chrismccormick to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.3
wandb: Run data is saved locally in /home/ubuntu/nanochat/wandb/run-20260207_233245-e9ndvkq6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run 2026-02-07_233232-8xA100-d12-baseline-6
wandb: ⭐️ View project at https://wandb.ai/chrismccormick/nanochat
wandb: 🚀 View run at https://wandb.ai/chrismccormick/nanochat/runs/e9ndvkq6
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL"
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,424
Estimated FLOPs per token: 8.021676e+08
Auto-computed optimal batch size: 524,288 tokens
Calculated number of iterations from target data:param ratio: 1,785
Total number of training tokens: 935,854,080
Tokens : Scaling params ratio: 8.50
Total training FLOPs estimate: 7.507118e+17
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 262,144
Total batch size 524,288 => gradient accumulation steps: 2
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Step 00000 | Validation bpb: 3.169262
step 00000/01785 (0.00%) | loss: 10.397573 | lrm: 1.00 | dt: 15984.13ms | tok/sec: 32,800 | mfu: 1.05 | epoch: 1 | total time: 0.00m
step 00001/01785 (0.06%) | loss: 10.650978 | lrm: 1.00 | dt: 352.67ms | tok/sec: 1,486,605 | mfu: 47.78 | epoch: 1 | total time: 0.00m
step 00002/01785 (0.11%) | loss: 10.487128 | lrm: 1.00 | dt: 315.12ms | tok/sec: 1,663,783 | mfu: 53.47 | epoch: 1 | total time: 0.00m
step 00003/01785 (0.17%) | loss: 10.310073 | lrm: 1.00 | dt: 316.27ms | tok/sec: 1,657,713 | mfu: 53.28 | epoch: 1 | total time: 0.00m
step 00004/01785 (0.22%) | loss: 9.898936 | lrm: 1.00 | dt: 316.12ms | tok/sec: 1,658,512 | mfu: 53.30 | epoch: 1 | total time: 0.00m
step 00005/01785 (0.28%) | loss: 9.534800 | lrm: 1.00 | dt: 314.50ms | tok/sec: 1,667,073 | mfu: 53.58 | epoch: 1 | total time: 0.00m
step 00006/01785 (0.34%) | loss: 9.200599 | lrm: 1.00 | dt: 317.11ms | tok/sec: 1,653,322 | mfu: 53.13 | epoch: 1 | total time: 0.00m
step 00007/01785 (0.39%) | loss: 9.210254 | lrm: 1.00 | dt: 315.88ms | tok/sec: 1,659,785 | mfu: 53.34 | epoch: 1 | total time: 0.00m
step 00008/01785 (0.45%) | loss: 9.000151 | lrm: 1.00 | dt: 315.64ms | tok/sec: 1,661,056 | mfu: 53.38 | epoch: 1 | total time: 0.00m
step 00009/01785 (0.50%) | loss: 8.759768 | lrm: 1.00 | dt: 316.28ms | tok/sec: 1,657,683 | mfu: 53.27 | epoch: 1 | total time: 0.00m
step 00010/01785 (0.56%) | loss: 8.531047 | lrm: 1.00 | dt: 316.22ms | tok/sec: 1,657,988 | mfu: 53.28 | epoch: 1 | total time: 0.00m
step 00011/01785 (0.62%) | loss: 8.317640 | lrm: 1.00 | dt: 315.93ms | tok/sec: 1,659,504 | mfu: 53.33 | epoch: 1 | total time: 0.01m | eta: 9.3m
step 00012/01785 (0.67%) | loss: 8.122661 | lrm: 1.00 | dt: 316.49ms | tok/sec: 1,656,595 | mfu: 53.24 | epoch: 1 | total time: 0.01m | eta: 9.3m
step 00013/01785 (0.73%) | loss: 7.945469 | lrm: 1.00 | dt: 316.66ms | tok/sec: 1,655,664 | mfu: 53.21 | epoch: 1 | total time: 0.02m | eta: 9.3m
step 00014/01785 (0.78%) | loss: 7.781165 | lrm: 1.00 | dt: 316.98ms | tok/sec: 1,654,017 | mfu: 53.16 | epoch: 1 | total time: 0.02m | eta: 9.3m
step 00015/01785 (0.84%) | loss: 7.631834 | lrm: 1.00 | dt: 316.48ms | tok/sec: 1,656,648 | mfu: 53.24 | epoch: 1 | total time: 0.03m | eta: 9.3m
step 00016/01785 (0.90%) | loss: 7.487502 | lrm: 1.00 | dt: 316.17ms | tok/sec: 1,658,256 | mfu: 53.29 | epoch: 1 | total time: 0.03m | eta: 9.3m
step 00017/01785 (0.95%) | loss: 7.345573 | lrm: 1.00 | dt: 316.47ms | tok/sec: 1,656,659 | mfu: 53.24 | epoch: 1 | total time: 0.04m | eta: 9.3m
step 00018/01785 (1.01%) | loss: 7.223777 | lrm: 1.00 | dt: 317.09ms | tok/sec: 1,653,433 | mfu: 53.14 | epoch: 1 | total time: 0.04m | eta: 9.3m
step 00019/01785 (1.06%) | loss: 7.119865 | lrm: 1.00 | dt: 317.07ms | tok/sec: 1,653,562 | mfu: 53.14 | epoch: 1 | total time: 0.05m | eta: 9.3m
step 00020/01785 (1.12%) | loss: 7.008206 | lrm: 1.00 | dt: 317.51ms | tok/sec: 1,651,251 | mfu: 53.07 | epoch: 1 | total time: 0.05m | eta: 9.3m
step 00021/01785 (1.18%) | loss: 6.911077 | lrm: 1.00 | dt: 317.26ms | tok/sec: 1,652,556 | mfu: 53.11 | epoch: 1 | total time: 0.06m | eta: 9.3m
step 00022/01785 (1.23%) | loss: 6.824895 | lrm: 1.00 | dt: 316.88ms | tok/sec: 1,654,549 | mfu: 53.17 | epoch: 1 | total time: 0.06m | eta: 9.3m
step 00023/01785 (1.29%) | loss: 6.744987 | lrm: 1.00 | dt: 316.57ms | tok/sec: 1,656,171 | mfu: 53.23 | epoch: 1 | total time: 0.07m | eta: 9.3m
step 00024/01785 (1.34%) | loss: 6.684922 | lrm: 1.00 | dt: 316.93ms | tok/sec: 1,654,264 | mfu: 53.16 | epoch: 1 | total time: 0.07m | eta: 9.3m
step 00025/01785 (1.40%) | loss: 6.621609 | lrm: 1.00 | dt: 317.05ms | tok/sec: 1,653,628 | mfu: 53.14 | epoch: 1 | total time: 0.08m | eta: 9.3m
step 00026/01785 (1.46%) | loss: 6.561038 | lrm: 1.00 | dt: 316.28ms | tok/sec: 1,657,667 | mfu: 53.27 | epoch: 1 | total time: 0.08m | eta: 9.3m
step 00027/01785 (1.51%) | loss: 6.501765 | lrm: 1.00 | dt: 316.84ms | tok/sec: 1,654,760 | mfu: 53.18 | epoch: 1 | total time: 0.09m | eta: 9.3m
step 00028/01785 (1.57%) | loss: 6.460005 | lrm: 1.00 | dt: 317.33ms | tok/sec: 1,652,199 | mfu: 53.10 | epoch: 1 | total time: 0.10m | eta: 9.3m
step 00029/01785 (1.62%) | loss: 6.409909 | lrm: 1.00 | dt: 317.78ms | tok/sec: 1,649,865 | mfu: 53.02 | epoch: 1 | total time: 0.10m | eta: 9.3m
step 00030/01785 (1.68%) | loss: 6.360126 | lrm: 1.00 | dt: 317.66ms | tok/sec: 1,650,473 | mfu: 53.04 | epoch: 1 | total time: 0.11m | eta: 9.3m
step 00031/01785 (1.74%) | loss: 6.316411 | lrm: 1.00 | dt: 317.01ms | tok/sec: 1,653,856 | mfu: 53.15 | epoch: 1 | total time: 0.11m | eta: 9.3m
step 00032/01785 (1.79%) | loss: 6.268531 | lrm: 1.00 | dt: 319.26ms | tok/sec: 1,642,173 | mfu: 52.78 | epoch: 1 | total time: 0.12m | eta: 9.3m
step 00033/01785 (1.85%) | loss: 6.235748 | lrm: 1.00 | dt: 318.19ms | tok/sec: 1,647,700 | mfu: 52.95 | epoch: 1 | total time: 0.12m | eta: 9.3m
step 00034/01785 (1.90%) | loss: 6.190189 | lrm: 1.00 | dt: 318.33ms | tok/sec: 1,646,971 | mfu: 52.93 | epoch: 1 | total time: 0.13m | eta: 9.3m
step 00035/01785 (1.96%) | loss: 6.164472 | lrm: 1.00 | dt: 317.73ms | tok/sec: 1,650,101 | mfu: 53.03 | epoch: 1 | total time: 0.13m | eta: 9.2m
step 00036/01785 (2.02%) | loss: 6.130790 | lrm: 1.00 | dt: 318.48ms | tok/sec: 1,646,224 | mfu: 52.91 | epoch: 1 | total time: 0.14m | eta: 9.2m
step 00037/01785 (2.07%) | loss: 6.100416 | lrm: 1.00 | dt: 317.60ms | tok/sec: 1,650,775 | mfu: 53.05 | epoch: 1 | total time: 0.14m | eta: 9.2m
step 00038/01785 (2.13%) | loss: 6.079996 | lrm: 1.00 | dt: 317.01ms | tok/sec: 1,653,844 | mfu: 53.15 | epoch: 1 | total time: 0.15m | eta: 9.2m
